,Unnamed: 0,KPI,Ridge coefs,Lasso coefs,ElasticNet coefs
0,0,ref__class_entropy,1.2616570715729963e-23,0.0,0.0
1,1,ref__dataset_dimensionality,-1.4012450498303892e-23,-7.620189015590351e-06,-8.547664792081333e-06
2,2,ref__dataset_ratio,-9.659292228621715e-24,-0.0,-0.0
3,3,ref__decision_tree_1_accuracy,-1.2630534345195002e-23,-0.0,-0.0
4,4,ref__decision_tree_3_accuracy,-5.138415446017108e-23,-0.0,-0.0
5,5,ref__gaussian_nb_accuracy,-6.5330078377654796e-24,-0.0,-0.0
6,6,ref__knn_5_accuracy,-3.491082506180773e-23,-0.0,-0.0
7,7,ref__lda_accuracy,1.0025886916220079e-23,-0.0,-0.0
8,8,ref__log_dataset_dimensionality,-4.361132533634906e-23,0.0,0.0
9,9,ref__log_nb_instances,-3.384588314900985e-23,0.0,0.0
10,10,ref__majority_target_class_ratio,-4.718981743918586e-24,-0.0,-0.0
11,11,ref__max_entropy_categorical_features,6.501155489708099e-24,0.0,0.0
12,12,ref__max_information_gain_categorical_features,1.337549601101095e-23,-0.0,0.0
13,13,ref__max_max_numeric_feautures,-2.0963091715919304e-23,8.271416634279238e-21,1.1108203807759276e-20
14,14,ref__max_mean_numeric_feautures,-9.117693857622674e-24,-7.518494594087616e-24,4.855347914625881e-21
15,15,ref__max_median_numeric_feautures,4.290798503442269e-23,-4.0631946795937686e-24,2.6239289412625477e-21
16,16,ref__max_min_numeric_feautures,2.30552085174097e-23,-2.4061102898624456e-18,1.5535973045297481e-15
17,17,ref__max_stdev_numeric_feautures,-5.225091549133863e-23,2.7448938853484776e-22,-1.7728591341861544e-19
18,18,ref__max_var_numeric_feautures,1.5098068655336152e-31,2.291821963841551e-42,-1.4802693067511344e-39
19,19,ref__mean_entropy_categorical_features,-4.091655139004207e-24,0.0,0.0
20,20,ref__mean_information_gain_categorical_features,-1.8944342876773036e-23,0.0,0.0
21,21,ref__mean_max_numeric_feautures,3.4728995763328277e-23,-6.762489859448788e-23,4.367614326701225e-20
22,22,ref__mean_mean_numeric_feautures,1.279102876019741e-23,-8.264013182664227e-23,5.3368186036469916e-20
23,23,ref__mean_median_numeric_feautures,-5.001292387802435e-23,-4.466025943279317e-23,2.8840889357924906e-20
24,24,ref__mean_min_numeric_feautures,2.3711734970749228e-23,-2.6452189084231498e-17,1.7076736900485407e-14
25,25,ref__mean_stdev_numeric_feautures,-7.866011283874643e-24,3.0175959345461014e-21,-1.948679663837274e-18
26,26,ref__mean_target_class_ratio,-5.7226161465689855e-24,-0.0,-0.0
27,27,ref__mean_var_numeric_feautures,-1.660787678388457e-30,2.5191145358729943e-41,-1.6270380271258496e-38
28,28,ref__median_entropy_categorical_features,-9.704900887177627e-24,0.0,0.0
29,29,ref__median_information_gain_categorical_features,2.235220163139695e-23,0.0,0.0
30,30,ref__median_max_numeric_feautures,-4.932011390034765e-23,-3.5449905272460915e-08,-8.614275448045969e-08
31,31,ref__median_mean_numeric_feautures,-2.6244332287556823e-23,-4.496523744384677e-06,-7.111636902307344e-06
32,32,ref__median_median_numeric_feautures,-2.3125729070189202e-23,-0.0,-0.0
33,33,ref__median_min_numeric_feautures,-9.428042659098627e-25,0.0,-0.0
34,34,ref__median_stdev_numeric_feautures,-4.569896591047504e-24,-0.0,-0.0
35,35,ref__median_target_class_ratio,-1.1522610155623232e-23,-0.0,-0.0
36,36,ref__median_var_numeric_feautures,-3.0225512331825056e-23,3.207622936175947e-11,3.946887828312181e-11
37,37,ref__min_entropy_categorical_features,4.2556770058312565e-23,0.0,0.0
38,38,ref__min_information_gain_categorical_features,6.620369783719936e-23,0.0,0.0
39,39,ref__min_max_numeric_feautures,2.0783638955889667e-23,-0.0,0.0
40,40,ref__min_mean_numeric_feautures,-2.8555116338690744e-24,-0.0,-0.0
41,41,ref__min_median_numeric_feautures,-3.9924370760421977e-23,-0.0,-0.0
42,42,ref__min_min_numeric_feautures,5.877211424181418e-24,2.6116719345291923e-06,2.4436773532690836e-06
43,43,ref__min_stdev_numeric_feautures,-2.0547104957937405e-23,-0.0,0.0
44,44,ref__min_var_numeric_feautures,-4.022390418068023e-25,9.72529858589913e-10,9.618950508893147e-10
45,45,ref__minority_target_class_ratio,1.0384857317941252e-23,-0.0,-0.0
46,46,ref__nb_categorical_features,8.826310461638486e-24,0.0,0.0
47,47,ref__nb_classes,2.013220759165172e-23,-0.0,-0.0
48,48,ref__nb_features,-9.558385508500163e-24,-0.0,-0.0
49,49,ref__nb_instances,7.714024393094759e-24,7.544717490625462e-07,8.484448913081394e-07
50,50,ref__nb_missing_vals,-7.030086179255537e-24,5.143805243295886e-06,6.41944777018314e-06
51,51,ref__nb_numeric_features,-1.4411081662130072e-23,-0.0,-3.3995860649209098e-06
52,52,ref__pca_1,-3.827493762803432e-23,0.0,0.0
53,53,ref__pca_2,1.6394320959457918e-23,0.0,0.0
54,54,ref__pca_3,-2.3869448588003878e-23,0.0,0.0
55,55,ref__q1_max_numeric_feautures,-1.1792347654496514e-23,-2.3947701818160837e-06,-2.1569609849969122e-06
56,56,ref__q1_mean_numeric_feautures,-2.3850205515871646e-23,-0.0,-0.0
57,57,ref__q1_median_numeric_feautures,1.8236060279226928e-23,-0.0,-0.0
58,58,ref__q1_min_numeric_feautures,-9.136008352203684e-24,0.0,-0.0
59,59,ref__q1_stdev_numeric_feautures,5.1514627971036876e-24,-0.0,-0.0
60,60,ref__q1_var_numeric_feautures,-4.3733646950456864e-23,3.0856704057188796e-10,2.912268728291558e-10
61,61,ref__q3_max_numeric_feautures,-1.5215261804361964e-23,1.0563453896307199e-07,1.0086950730579717e-07
62,62,ref__q3_mean_numeric_feautures,5.524881497302929e-24,-1.0807395591031022e-06,-3.009424864150759e-06
63,63,ref__q3_median_numeric_feautures,-1.5638911284436018e-23,2.9980661230816618e-06,6.207204070276972e-06
64,64,ref__q3_min_numeric_feautures,-1.908075926519429e-24,8.842740695039532e-07,2.7414153706786646e-06
65,65,ref__q3_stdev_numeric_feautures,-2.40178151896036e-23,-7.135381250409899e-07,-4.683582104588566e-07
66,66,ref__q3_var_numeric_feautures,-1.8335566380630225e-23,3.202364574065375e-14,1.317043244876365e-13
67,67,ref__random_tree_2_accuracy,9.171179111928227e-24,-0.0,-0.0
68,68,ref__ratio_categorical_numeric_features,-7.867154329931681e-24,-0.0,-0.0
69,69,ref__ratio_features_with_missing_vals,-3.6039820742117377e-23,-0.0,-0.0
70,70,ref__ratio_instances_with_missing_vals,-1.6300947541260585e-23,-0.0,-0.0
71,71,ref__ratio_numeric_categorical_features,-2.517601524337557e-23,0.0,0.0
72,72,ref__stdev_entropy_categorical_features,-1.0428080046846643e-22,-0.0,-0.0
73,73,ref__stdev_information_gain_categorical_features,-9.492724944602006e-23,-0.0,-0.0
74,74,ref__stdev_max_numeric_feautures,1.6063630848343847e-23,-1.937222753102875e-21,4.7552197874223675e-20
75,75,ref__stdev_mean_numeric_feautures,-1.3399376666577926e-23,6.728804806675803e-23,1.6995992611470576e-20
76,76,ref__stdev_median_numeric_feautures,2.311647543835332e-23,3.636350586667988e-23,9.184514942538089e-21
77,77,ref__stdev_min_numeric_feautures,8.009959164196726e-24,2.15423922478728e-17,5.437987668892572e-15
78,78,ref__stdev_stdev_numeric_feautures,-7.084431269222491e-24,-2.457428800017407e-21,-6.205461409748913e-19
79,79,ref__stdev_target_class_ratio,-2.071478538744364e-23,-0.0,-0.0
80,80,ref__stdev_var_numeric_feautures,-2.1538074034725135e-23,-7.366521231644803e-15,4.8400877466681384e-15
81,81,test__class_entropy,-3.9096972668867455e-23,-0.0,-0.0
82,82,test__dataset_dimensionality,-4.221007622804014e-23,-4.5443685839790686e-06,-4.055272324000014e-06
83,83,test__dataset_ratio,-3.2071221856708985e-23,-0.0,-0.0
84,84,test__decision_tree_1_accuracy,1.5971568120781773e-23,0.0,0.0
85,85,test__decision_tree_3_accuracy,2.4758691497950372e-23,0.0,0.0
86,86,test__gaussian_nb_accuracy,4.8402198912543236e-23,0.0,0.0
87,87,test__knn_5_accuracy,1.0127135727797563e-22,0.0,0.0
88,88,test__lda_accuracy,7.330184015324612e-23,0.0,0.0
89,89,test__log_dataset_dimensionality,1.455061176358042e-22,0.0,0.0
90,90,test__log_nb_instances,9.60882005579624e-23,0.0,0.0
91,91,test__majority_target_class_ratio,6.790165173995129e-23,0.0,0.0
92,92,test__max_entropy_categorical_feautures,1.2643250245926488e-24,0.0,0.0
93,93,test__max_information_gain_categorical_features,-1.1910271749808194e-23,0.0,0.0
94,94,test__max_max_numeric_feautures,3.4520100376933196e-23,4.460860637774802e-09,-6.75935028459607e-09
95,95,test__max_mean_numeric_feautures,1.3840142577754694e-23,-4.5515569329789027e-07,-6.170998718972508e-07
96,96,test__max_median_numeric_feautures,4.294446923922954e-23,9.84666563696364e-07,1.2225164271278604e-06
97,97,test__max_min_numeric_feautures,7.380826414321876e-23,1.6516386335194344e-05,1.7754705185789953e-05
98,98,test__max_stdev_numeric_feautures,-3.448362203556767e-23,8.427355256626853e-07,1.0494517349180303e-06
99,99,test__max_var_numeric_feautures,8.461555602938496e-25,-1.7074997439910997e-13,-1.9307654727074953e-13
100,100,test__mean_entropy_categorical_feautures,6.483908726436727e-26,0.0,0.0
101,101,test__mean_information_gain_categorical_features,-1.3581894908037126e-24,0.0,0.0
102,102,test__mean_max_numeric_feautures,4.119398915164191e-23,2.943489819975344e-08,-9.299744500893409e-08
103,103,test__mean_mean_numeric_feautures,5.58845614878577e-24,-1.9657231183156653e-06,-1.9922606837367846e-06
104,104,test__mean_median_numeric_feautures,-1.4330623829007564e-23,-0.0,-0.0
105,105,test__mean_min_numeric_feautures,1.6721503686382909e-23,4.868595339659817e-07,5.220644246264909e-07
106,106,test__mean_stdev_numeric_feautures,-2.8591054425054486e-23,-1.198240012040589e-05,-1.4647524440915037e-05
107,107,test__mean_target_class_ratio,-8.959219615992226e-24,-0.0,-0.0
108,108,test__mean_var_numeric_feautures,-5.355096377847252e-23,8.952035226590395e-13,1.135091686778749e-12
109,109,test__median_entropy_categorical_feautures,4.576839378071668e-25,0.0,0.0
110,110,test__median_information_gain_categorical_features,-5.972529553862964e-23,0.0,0.0
111,111,test__median_max_numeric_feautures,7.139576118135527e-23,1.1445471131951904e-05,9.731448658108905e-06
112,112,test__median_mean_numeric_feautures,2.367979197766529e-23,0.0,0.0
113,113,test__median_median_numeric_feautures,-3.457740351299303e-23,0.0,0.0
114,114,test__median_min_numeric_feautures,-1.4550347711417068e-23,0.0,0.0
115,115,test__median_stdev_numeric_feautures,-1.7880488948683365e-23,0.0,0.0
116,116,test__median_target_class_ratio,2.5665183463603828e-23,-0.0,-0.0
117,117,test__median_var_numeric_feautures,-4.326209947264037e-23,-3.0368131836462786e-08,-3.105553529738742e-08
118,118,test__min_entropy_categorical_feautures,1.0712292310746557e-24,0.0,0.0
119,119,test__min_information_gain_categorical_features,-2.890373308855205e-24,0.0,0.0
120,120,test__min_max_numeric_feautures,2.6839073800915833e-23,-2.8464002985351717e-08,-3.55040988322402e-08
121,121,test__min_mean_numeric_feautures,-5.875694109536199e-23,-1.8916882322664127e-09,-1.3982464794895895e-09
122,122,test__min_median_numeric_feautures,2.936097335126227e-23,-0.0,-4.018660688499813e-12
123,123,test__min_min_numeric_feautures,-1.0832786556222323e-23,-1.1202822979551908e-09,-8.436388756808619e-10
124,124,test__min_stdev_numeric_feautures,5.164743747480843e-23,0.0,0.0
125,125,test__min_var_numeric_feautures,1.0487513914296144e-23,4.080894152174209e-08,4.7986535669640954e-08
126,126,test__minority_target_class_ratio,-1.0203556943741636e-22,-0.0,-0.0
127,127,test__nb_categorical_features,-1.3904813881255055e-23,0.0,0.0
128,128,test__nb_classes,4.225232076333021e-23,0.0,0.0
129,129,test__nb_features,-4.624946100894765e-24,-0.0,-0.0
130,130,test__nb_instances,5.808176284573682e-23,2.422541545354824e-06,2.2812273968748873e-06
131,131,test__nb_missing_vals,-1.7206539263130942e-24,0.0,0.0
132,132,test__nb_numeric_features,-2.8853216897189044e-23,-0.0,-0.0
133,133,test__pca_1,-1.9998466774739038e-23,0.0,0.0
134,134,test__pca_2,-5.348986430134886e-23,-0.0,-0.0
135,135,test__q1_max_numeric_feautures,1.0550088924708306e-23,0.0,0.0
136,136,test__q1_mean_numeric_feautures,2.0480510597120566e-23,0.0,0.0
137,137,test__q1_median_numeric_feautures,-9.816926648256269e-23,0.0,0.0
138,138,test__q1_min_numeric_feautures,2.5008335117171086e-23,0.0,0.0
139,139,test__q1_stdev_numeric_feautures,-1.6633300415868023e-23,0.0,-0.0
140,140,test__q1_var_numeric_feautures,-1.1012831266603009e-23,-1.3179881286772341e-08,-1.8821277378531853e-08
141,141,test__q3_max_numeric_feautures,2.5801198701196523e-23,1.0237710229443977e-06,1.118178483022118e-06
142,142,test__q3_mean_numeric_feautures,4.1226256277118976e-23,2.0073009667929046e-07,2.2315086263834977e-07
143,143,test__q3_median_numeric_feautures,-1.9145773147930696e-23,8.71362317229313e-06,1.263809413570637e-05
144,144,test__q3_min_numeric_feautures,2.8002837629168664e-23,0.0,0.0
145,145,test__q3_stdev_numeric_feautures,3.6584124281654674e-23,0.0,0.0
146,146,test__q3_var_numeric_feautures,7.596758033593691e-23,-1.9899543527000482e-11,-1.564271327634979e-11
147,147,test__random_tree_2_accuracy,-7.099368368195614e-23,0.0,0.0
148,148,test__ratio_categorical_numeric_features,5.909317020825234e-23,0.0,0.0
149,149,test__ratio_features_with_missing_vals,5.5196736342504345e-24,0.0,0.0
150,150,test__ratio_instances_with_missing_vals,-1.6246862617688733e-24,0.0,0.0
151,151,test__ratio_numeric_categorical_features,-5.778258714744524e-23,0.0,0.0
152,152,test__stdev_entropy_categorical_feautures,7.526396502292067e-25,0.0,0.0
153,153,test__stdev_information_gain_categorical_features,4.2225079217643645e-23,0.0,0.0
154,154,test__stdev_max_numeric_feautures,-1.0765965173032076e-23,8.517791699034662e-09,9.722621070250061e-08
155,155,test__stdev_mean_numeric_feautures,-6.934415355132464e-24,-2.585378466363448e-07,-3.1823210689310326e-07
156,156,test__stdev_median_numeric_feautures,-1.8246636949162564e-24,-0.0,-1.5679291256374613e-11
157,157,test__stdev_min_numeric_feautures,-2.8841224122615062e-24,1.8067582379033252e-07,1.7907846033514946e-07
158,158,test__stdev_stdev_numeric_feautures,5.0827420266480856e-24,-2.816925482369345e-06,-3.355238752665725e-06
159,159,test__stdev_target_class_ratio,8.792380612288923e-23,0.0,0.0
160,160,test__stdev_var_numeric_feautures,2.70619015377915e-23,1.3271522591836522e-13,1.5604367484321829e-13
161,161,ref__max_entropy_categorical_feautures,3.457927506324614e-24,0.0,0.0
162,162,ref__mean_entropy_categorical_feautures,1.8117017548112824e-24,0.0,0.0
163,163,ref__median_entropy_categorical_feautures,-9.588544340791697e-25,0.0,0.0
164,164,ref__min_entropy_categorical_feautures,2.4884187836034197e-25,0.0,0.0
165,165,ref__stdev_entropy_categorical_feautures,3.5266641023998297e-25,0.0,0.0
166,166,test__max_entropy_categorical_features,7.935313415849879e-23,0.0,0.0
167,167,test__mean_entropy_categorical_features,6.271276220229494e-23,0.0,0.0
168,168,test__median_entropy_categorical_features,4.4258191551845167e-23,0.0,0.0
169,169,test__min_entropy_categorical_features,1.7103899443498483e-23,0.0,0.0
170,170,test__pca_3,1.6323804443006173e-23,0.0,0.0
171,171,test__stdev_entropy_categorical_features,5.251490574598752e-23,0.0,0.0
